,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
45,"Buenos Aires, Argentina",2014-02-15,23.3,18.9,21.3,23.3,18.9,21.3,14.1,63.7,0,0,0,,0,0,55.4,35.3,100.6,1025.7,72.6,10,288.4,25,10,,2014-02-15T06:27:48,2014-02-15T19:46:52,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87582099999,87585099999,87553099999,SAEZ,SADF,SABE,87593099999,86560099999,87576099999"
46,"Buenos Aires, Argentina",2014-02-16,26.1,20,22.5,26.1,20,22.5,18,75.9,0,0,0,,0,0,55.4,29.7,94.8,1021.5,42.2,10,266.6,23.1,8,,2014-02-16T06:28:46,2014-02-16T19:45:47,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87582099999,87585099999,87553099999,SAEZ,SADF,SABE,87593099999,87576099999"
47,"Buenos Aires, Argentina",2014-02-17,26.3,21.9,24,26.3,21.9,24,19.1,74.4,0,0,0,,0,0,,27.9,61.6,1018.3,65,9.9,238.1,20.3,9,,2014-02-17T06:29:43,2014-02-17T19:44:41,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87582099999,87585099999,87553099999,SAEZ,SADF,SABE,87593099999,87576099999"
48,"Buenos Aires, Argentina",2014-02-18,27.1,22,24.3,28.7,22,24.5,20.2,78.1,1.131,100,8.33,rain,0,0,,26.2,54.2,1014.9,81.5,9.4,190.7,16.5,8,,2014-02-18T06:30:40,2014-02-18T19:43:34,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"87582099999,87585099999,87553099999,SAEZ,SADF,SABE,87593099999,87576099999"
49,"Buenos Aires, Argentina",2014-02-19,26,23.8,24.6,26,23.8,24.6,21.1,81.3,0.182,100,8.33,rain,0,0,,19.9,21.2,1011.6,87,9.9,165.6,14.3,5,,2014-02-19T06:31:37,2014-02-19T19:42:26,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"87582099999,87585099999,87553099999,SAEZ,SADF,SABE,87593099999,86560099999,87576099999"
50,"Buenos Aires, Argentina",2014-02-20,26.8,21.5,24,28.2,21.5,24.1,19.5,76.5,0.105,100,8.33,rain,0,0,37.1,17.8,285.9,1009.8,56.2,9.1,207.9,17.9,8,,2014-02-20T06:32:33,2014-02-20T19:41:17,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"87582099999,87585099999,87553099999,SAEZ,SADF,SABE,87593099999,87576099999"
51,"Buenos Aires, Argentina",2014-02-21,28.8,21.8,24.5,29.6,21.8,24.7,19.9,76.8,0.52,100,8.33,rain,0,0,,21.5,199.8,1011.2,59.1,8.7,204.6,17.7,8,,2014-02-21T06:33:29,2014-02-21T19:40:07,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"87582099999,87585099999,87553099999,SAEZ,SADF,SABE,87593099999,87576099999"
52,"Buenos Aires, Argentina",2014-02-22,25.9,20.8,23.5,25.9,20.8,23.5,18.5,73.8,0,0,0,,0,0,,21.9,129.6,1014.1,80.5,10,184.7,16,6,,2014-02-22T06:34:25,2014-02-22T19:38:56,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87582099999,87585099999,87553099999,SAEZ,SADF,SABE,87593099999,86560099999,87576099999"
53,"Buenos Aires, Argentina",2014-02-23,25.3,19.6,23.1,25.3,19.6,23.1,17,68.8,0,0,0,,0,0,33.5,19.2,94,1010.3,42.2,10,320.5,27.6,10,,2014-02-23T06:35:20,2014-02-23T19:37:45,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87582099999,87585099999,87553099999,SAEZ,SADF,SABE,87593099999,87576099999"
54,"Buenos Aires, Argentina",2014-02-24,28.3,20,24,28,20,24.1,16.7,65.7,0,0,0,,0,0,58.7,42.2,160.3,1012,46.8,9.7,295.5,25.4,9,,2014-02-24T06:36:15,2014-02-24T19:36:32,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87582099999,87585099999,87553099999,SAEZ,SADF,SABE,87593099999,87576099999"
55,"Buenos Aires, Argentina",2014-02-25,21.9,15.7,18.9,21.9,15.7,18.9,9.9,56.5,0,0,0,,0,0,,46.4,153.2,1019.1,73.4,10,149.2,12.7,5,,2014-02-25T06:37:09,2014-02-25T19:35:19,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87582099999,87585099999,87553099999,SAEZ,SADF,SABE,87593099999,86560099999,87576099999"
56,"Buenos Aires, Argentina",2014-02-26,21.9,14.9,18.2,21.9,14.9,18.2,11.4,64.8,0,0,0,,0,0,,26.5,161.7,1019.1,64.5,9.9,270.9,23.6,9,,2014-02-26T06:38:03,2014-02-26T19:34:05,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87582099999,87585099999,87553099999,SAEZ,SADF,SABE,87593099999,87576099999"
57,"Buenos Aires, Argentina",2014-02-27,22.3,14.5,18.9,22.3,14.5,18.9,10.9,60.6,0,0,0,,0,0,,21.4,148,1017.7,26.3,10,311.4,27.1,10,,2014-02-27T06:38:57,2014-02-27T19:32:50,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87582099999,87585099999,87553099999,SAEZ,SADF,SABE,87593099999,87576099999"
58,"Buenos Aires, Argentina",2014-02-28,23.8,17.4,20.7,23.8,17.4,20.7,15.7,73.8,0,0,0,,0,0,,19.7,118.4,1014.1,42.4,10,293.7,25.4,9,,2014-02-28T06:39:50,2014-02-28T19:31:34,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87582099999,87585099999,87553099999,SAEZ,SADF,SABE,87593099999,87576099999"
59,"Buenos Aires, Argentina",2014-03-01,24.1,19.5,21.6,24.1,19.5,21.6,16.5,73.1,0,0,0,,0,0,,16.1,85.9,1013.8,77.2,10,230.8,20,8,,2014-03-01T06:40:43,2014-03-01T19:30:18,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87582099999,87585099999,87553099999,SAEZ,SADF,SABE,87593099999,87576099999"
60,"Buenos Aires, Argentina",2014-03-02,24.1,18.7,21.5,24.1,18.7,21.5,15.4,68.9,0,0,0,,0,0,40.7,25.8,102.7,1016.4,34.5,9.8,242.2,21,8,,2014-03-02T06:41:36,2014-03-02T19:29:01,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87582099999,87585099999,87553099999,SAEZ,SADF,SABE,87593099999,87576099999"
61,"Buenos Aires, Argentina",2014-03-03,24,20.6,22,24,20.6,22,15.8,68.4,0,0,0,,0,0,53.6,37.2,104.1,1017.2,76.8,10,177.2,15.3,7,,2014-03-03T06:42:28,2014-03-03T19:27:44,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87582099999,87585099999,87553099999,SAEZ,SADF,SABE,87593099999,87576099999"
62,"Buenos Aires, Argentina",2014-03-04,24.7,19,21.6,24.7,19,21.6,17.4,77.9,47.886,100,12.5,rain,0,0,72.4,53.2,42.1,1009.7,62.4,8.1,149.7,12.9,6,,2014-03-04T06:43:20,2014-03-04T19:26:26,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"87582099999,87585099999,87553099999,SAEZ,SADF,SABE,87593099999,87576099999"
63,"Buenos Aires, Argentina",2014-03-05,28.9,18.8,23.3,29.1,18.8,23.4,17,69.9,0.16,100,4.17,rain,0,0,40.7,23.4,284,1009.5,60,9.7,203,17.6,8,,2014-03-05T06:44:12,2014-03-05T19:25:07,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"87582099999,87585099999,87553099999,SAEZ,SADF,SABE,87593099999,87576099999"
