,temp,dew,humidity,precip,precipprob,precipcover,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,moonphase,clusters_description,year,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,preds,preds_gs,sktime_naive,preds_autoarima,preds_sarimax,0_1_0_0_1_0_12,0_1_0_0_1_1_12,0_1_0_1_1_0_12,0_1_0_1_1_1_12,0_1_1_0_1_0_12,0_1_1_0_1_1_12,0_1_1_1_1_0_12,0_1_1_1_1_1_12,1_1_0_0_1_0_12,1_1_0_0_1_1_12,1_1_0_1_1_0_12,1_1_0_1_1_1_12,1_1_1_0_1_0_12,1_1_1_0_1_1_12,1_1_1_1_1_0_12,1_1_1_1_1_1_12
2024-01-05,6.6,9.0,83.9,8.01,100.0,33.33,0.0,0.0,90.7,58.7,235.4,985.7,91.9,13.6,7.2,0.7,0.0,10.0,0.71,0.0,2024,True,False,False,False,False,False,False,False,False,False,False,False,6.7234073,6.0206704,14.82803738317757,13.48776224541162,47.148429859455064,17.874570126554318,25.40834411472315,53.825227779892884,33.317836561564036,13.585613875213312,43.90244666515355,51.86359640247974,47.81877450505999,15.499576709677058,43.888525275215216,53.047920891771355,47.35997557619703,9.434280922883772,42.807798704063316,49.7739045534654,47.148429859455064
2024-01-06,6.1,6.8,80.7,1.799,100.0,16.67,0.0,0.0,48.2,26.5,249.6,990.7,75.9,14.3,19.8,1.7,2.0,10.0,0.74,0.0,2024,True,False,False,False,False,False,False,False,False,False,False,False,5.059799,6.638928,14.829906542056076,13.490184203494927,47.391504656287,17.28481414846101,25.567000070393988,53.25575993505845,33.91195638388308,12.95913845285395,44.51298939193293,51.25153247730486,48.026159761870076,14.889050678702915,44.328755259783065,52.4628012629546,47.534868184164225,8.899481352957082,43.27013423519384,49.17763941810699,47.391504656287
2024-01-07,4.0,5.8,86.3,21.797,100.0,41.67,0.0,0.0,38.9,22.2,235.1,998.9,55.9,12.6,18.6,1.6,1.0,10.0,0.75,0.0,2024,True,False,False,False,False,False,False,False,False,False,False,False,6.553838,7.491162,14.83177570093458,13.487791825276602,47.16630044041813,15.033431445110182,25.87186485552229,51.790660033671884,34.26402070679251,10.621299396963877,44.534172438201495,49.75075878957432,47.876242800350155,12.573401973979344,44.28630973740292,50.986902803520934,47.38247763087202,6.612844788614893,43.15841828140765,47.65925612272622,47.16630044041813
2024-01-08,3.1,4.2,84.8,1.41,100.0,37.5,0.0,0.0,46.4,27.6,308.3,1001.4,96.3,12.5,16.0,1.5,1.0,10.0,0.81,0.0,2024,True,False,False,False,False,False,False,False,False,False,False,False,5.9668107,5.8667135,14.833644859813084,13.490154984894831,47.11982941507813,15.339332050454686,25.544154848164908,52.60566059735356,33.743016167118185,10.88453102665153,44.17062771835481,50.45429675343985,47.824194118853484,12.851087452083448,44.02790244705102,51.7550404589565,47.444914761930704,6.768295264802873,43.00143702112473,48.37066061709265,47.11982941507813
2024-01-09,2.9,2.9,79.4,0.205,100.0,20.83,0.0,0.0,25.9,14.2,353.7,1016.0,96.3,16.7,14.4,1.4,1.0,10.0,0.84,0.0,2024,True,False,False,False,False,False,False,False,False,False,False,False,3.961863,6.264451,14.835514018691589,13.487820687024012,46.8952289223962,18.064006350479758,25.124925475254713,53.731675738039485,33.30244865014174,13.592315481862897,43.91418680933202,51.595159947184584,47.59627918946353,15.561428793247615,43.81276782216446,52.89883340198139,47.13262267671962,9.550588277659699,42.708598075976624,49.50896844065937,46.8952289223962
2024-01-10,3.1,-1.1,69.6,0.0,0.0,0.0,0.0,0.0,33.5,22.0,23.9,1026.8,70.0,19.0,25.0,2.3,2.0,10.0,0.87,1.0,2024,True,False,False,False,False,False,False,False,False,False,False,False,3.5116274,3.8029923,14.837383177570095,13.490126475641791,46.92475551105963,17.08182505217701,25.234586896203837,52.72022838070916,33.29841513454812,12.607041043804202,43.81074904709021,50.58831839488994,47.600815652072924,14.578653083892277,43.84426615280972,51.86820209333382,47.12568731935971,8.542768735300342,42.691455428484915,48.48526730974845,46.92475551105963
2024-01-11,3.2,-2.8,65.6,0.001,100.0,4.17,0.2,0.0,46.4,24.8,49.7,1031.5,92.3,17.6,11.5,0.9,1.0,10.0,0.9,0.0,2024,True,False,False,False,False,False,False,False,False,False,False,False,2.630858,3.6795473,14.839252336448599,13.487848848087765,47.96072625288798,17.17184548216028,25.468541448321048,53.692156206889194,34.054522235997865,12.666502006282826,44.770238779019564,51.49795684538185,48.68617477786029,14.648267060314538,44.83819092888734,52.81717175853555,48.12110672522249,8.591830424713407,43.70907218942375,49.42708224529633,47.96072625288798
2024-01-12,5.5,-2.8,66.5,0.0,0.0,0.0,0.0,0.0,48.2,27.6,65.4,1030.3,53.8,15.6,22.5,2.0,2.0,10.0,0.94,0.0,2024,True,False,False,False,False,False,False,False,False,False,False,False,2.2797213,3.5201602,14.841121495327103,13.490098658514817,48.1334005526478,17.931726866976533,25.598577131568163,54.702059119812475,34.24740179267974,13.41936820619594,44.883221960062656,52.51789608101171,48.89624304740573,15.396790238122776,44.907107013808854,53.84856648493587,48.40870342485141,9.359984333652392,43.8139678135376,50.44449957484903,48.1334005526478
2024-01-13,3.3,-3.2,63.7,0.0,0.0,0.0,0.0,0.0,44.6,21.7,45.8,1029.0,17.7,16.4,24.6,2.1,2.0,10.0,0.97,2.0,2024,True,False,False,False,False,False,False,False,False,False,False,False,3.8169153,3.6640863,14.842990654205607,13.48787632547853,47.053849447016546,17.98325330166699,25.315463653914776,54.124113587127795,34.017052655501175,13.4917206568025,44.04965152864315,51.96333319146288,47.820321283241356,15.46037529633395,43.94404348912212,53.28667637955368,47.32864901882931,9.46968723495229,42.94156901658425,49.92272853252507,47.053849447016546
2024-01-14,4.4,0.4,82.0,0.0,0.0,0.0,0.0,0.0,33.5,18.1,30.4,1036.2,60.9,11.6,15.5,1.3,1.0,10.0,0.0,0.0,2024,True,False,False,False,False,False,False,False,False,False,False,False,4.246335,4.756043,14.844859813084113,13.490071516710996,47.35420109279221,17.306360723534453,24.954709911595273,54.41270923009506,33.795545277480414,12.857461204806896,44.076087003213615,52.272100401351054,48.11657036454926,14.809893780249695,44.087186371561984,53.58020179376035,47.53897233549651,8.832939509571588,43.158339437897666,50.20018997637453,47.35420109279221
2024-01-15,1.0,2.2,79.5,0.0,0.0,0.0,0.0,0.0,35.3,18.6,40.2,1035.6,98.9,15.0,8.7,0.8,1.0,10.0,0.04,1.0,2024,True,False,False,False,False,False,False,False,False,False,False,False,6.086076,6.207002,14.846728971962618,13.487903135793998,47.18320266090086,18.31953220885407,24.91410268603431,54.1370477940618,33.594899220704974,13.837410229123634,43.991500860920496,52.00042032980855,47.961727941245044,15.806518334775319,44.077200577870826,53.30689554735727,47.45904898670051,9.761453590876044,43.05330923891597,49.93492338100987,47.18320266090086
